Maker,Expression,Age,ABV,County,Region,Peated,Category 1,C1 N,Category 2,C2N,Category 3,C3N
Bardstown,Origin Series Bottled-in-Bond,6,50,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Barton 1792,Thomas S. Moore Cognac Cask,,46.7,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Barton 1792,1792 Full Proof – Gordon’s Single Barrel Select,,62.5,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Barton 1792,1792 12yr,12,48.3,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Buffalo Trace,Blanton’s Single Barrel,,46.5,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Buffalo Trace,Colonel E.H. Taylor Small Batch,,50,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Doc Swinson’s,Alter Ego Triple Cask,,47.9,USA,Indiana (MGP),,Whisky,1,America,1,Bourbon,1
Heaven Hill,Elijah Craig Private Barrel – Gordon’s 6612899,9,66.15,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Heaven Hill,Larceny Barrel Proof Y324,,62.9,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Isaac Bowman,Port Barrel Finished,,46,USA,Virginia,,Whisky,1,America,1,Bourbon,1
Maker’s Mark,Private Selection - Gordon’s ,,54.45,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Michter’s,US1 Bourbon,,45.7,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Michter’s,Bomberger’s Declaration 2022,,54,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Rabbit Hole,Heigold,,47.5,USA,Kentucky,,Whisky,1,America,1,Bourbon,1
Balcones,Texas Rye Cask Strength – Total Wine 20166,,66,USA,Texas,,Whisky,1,America,1,Rye,2
Heaven Hill,Rittenhouse Rye,,50,USA,Kentucky,,Whisky,1,America,1,Rye,2
High West,A Midwinter Night’s Dram Act 11 Scene 3,,49.3,USA,Utah,,Whisky,1,America,1,Rye,2
Kentucky Owl,Last Rye Batch,10,56.4,USA,Kentucky,,Whisky,1,America,1,Rye,2
Willett,Premier Drams Single Barrel 20421,7,51.1,USA,Kentucky,,Whisky,1,America,1,Rye,2
Glenfiddich,14yr Bourbon Barrel Reserve,14,43,Scotland,Speyside,,Whisky,1,Scotland,2,Speyside,1
Linkwood,The Impex Collection 800832,15,58.9,Scotland,Speyside,,Whisky,1,Scotland,2,Speyside,1
Linkwood,Signatory 1996 8730,54.8,22,Scotland,Speyside,,Whisky,1,Scotland,2,Speyside,1
Linkwood,Gordon & Macphail 1995 8088,54.5,27,Scotland,Speyside,,Whisky,1,Scotland,2,Speyside,1
Ardbeg,Uigeadail,,54.2,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Bowmore,Single Cask Nation 160491,11,56.9,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Bruichladdich,The Laddie Eight,8,50,Scotland,Islay,,Whisky,1,Scotland,2,Islay,2
Bruichladdich,18yr,18,50,Scotland,Islay,,Whisky,1,Scotland,2,Islay,2
Bruichladdich,Octomore 11.1,5,59.4,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Bruichladdich,Octomore 13.2,5,58.3,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Bruichladdich,Octomore 14.3,5,61.4,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Coal Ila,Single Cask Nation 314029,11,56.9,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Laphroaig,10yr,10,43,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Laphroaig,Lore,,48,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Laphroaig,Elements L 2.0,,59.6,Scotland,Islay,Peated,Whisky,1,Scotland,2,Islay,2
Suntory,Hibiki Japanese Harmony,,43,Japan,,,Whisky,1,Japan,3,,
Suntory,The Chita Single Grain,,43,Japan,,,Whisky,1,Japan,3,,
Suntory,The Yamazaki 12yr,12,43,Japan,,,Whisky,1,Japan,3,,
Suntory,The Yamazaki 18yr,18,43,Japan,,,Whisky,1,Japan,3,,
Amrut,Special Limited Edition – Norfolk Whisky Group,7,60,India,Bengaluru,,Whisky,1,World,4,,
Chichibu,Ichiro’s Malt & Grain,,46,Japan,,,Whisky,1,World,4,,
Del Maguey,Florencio Carlos Sarmiento – Arroqueno,,49,Mexico,Oaxaca,,Mezcal,2,Americana,1,,
El Jolgorio,"Eustaquio Velasco Ruiz, Justina Ruiz Perez – Ancestral Coyote",14,52.5,Mexico,Oaxaca,,Mezcal,2,Americana,1,,
El Jolgorio,Pedro Vasquez – Todos Santos Mezcaleros Arroqueño,16,55,Mexico,Oaxaca,,Mezcal,2,Americana,1,,
Rezpiral,Berta Vasquez  – Series 6 Coyote,15-16,46.1,Mexico,Oaxaca,,Mezcal,2,Americana,1,,
Rezpiral,Berta Vasquez  – Series 7 Arroqueño,18-19,43.5,Mexico,Oaxaca,,Mezcal,2,Americana,1,,
El Jolgorio,Ignacio Parada – Cenizo,13,52,Mexico,Oaxaca,,Mezcal,2,Karwinskii,2,,
Rezpiral,Simeon Ramirez – Tobasiche & San Martinero,11-14,50.4,Mexico,Oaxaca,,Mezcal,2,Karwinskii,2,,
Vago,Aquilino Garcia – Cuishe,,51.7,Mexico,Oaxaca,,Mezcal,2,Karwinskii,2,,
Del Maguey,Rogelio Martinez Cruz – Tobala,,45,Mexico,Oaxaca,,Mezcal,2,Potatorum,3,,
Vago,Emiligdio Jarquin – Tobala,,50,Mexico,Oaxaca,,Mezcal,2,Potatorum,3,,
5 Sentidos,Pechuga de Mole Poblano,,45.7,Mexico,Oaxaca,,Mezcal,2,Angustifolia,4,,
Rezpiral,Aureliano Hernandez – Espadín Capon,10,46,Mexico,Oaxaca,,Mezcal,2,Angustifolia,4,,
Maguey Melate,Miguel Ortiz Villagomez – Inaequidens,7-8,53,Mexico,Oaxaca,,Mezcal,2,Inaequidens,5,,
Privateer,Distiller’s Drawer Kenmore Select,,50,America,Massachusetts,,Rum,3,America,1,,
Foursquare,2010,12,60,Barbados,,,Rum,3,Barbados,2,,
Foursquare,Isonomy,17,58,Barbados,,,Rum,3,Barbados,2,,
Foursquare,Touchstone,14,61,Barbados,,,Rum,3,Barbados,2,,
Diamond,Hamilton 151 Overproof,,75.7,Guyana,,,Rum,3,Guyana,3,,
El Dorado,12yr,12,40,Guyana,,,Rum,3,Guyana,3,,
Barbancourt,8yr,8,43,Haiti,,,Rum,3,Haiti,4,,
Boukman,Botanical Rhum,,45,Haiti,,,Rum,3,Haiti,4,,
Chelo,Clairin Sajous,,55.2,Haiti,,,Rum,3,Haiti,4,,
Doctor Bird,,,50,Jamaica,,,Rum,3,Jamaica,5,,
Hampden,8yr,8,46,Jamaica,,,Rum,3,Jamaica,5,,
Hampden,Great House 2023,,57,Jamaica,,,Rum,3,Jamaica,5,,
J. Wray & Nephew,Coruba,,40,Jamaica,,,Rum,3,Jamaica,5,,
J. Wray & Nephew,Overproof,,63,Jamaica,,,Rum,3,Jamaica,5,,
Worthy Park,Hamilton Jamaican Pot Still Black,,46.5,Jamaica,,,Rum,3,Jamaica,5,,
Rhum J.M,VSOP,3,43,Martinique,,,Rum,3,Martinique,6,,
Saint James,Down Island 07-772 A,6,57.9,Martinique,,,Rum,3,Martinique,6,,
Saint Lucia Distillers,Chairman’s Reserve,,40,Saint Lucia,,,Rum,3,Saint Lucia,7,,
Denizen,Merchant’s Reserve,8,43,,,,Rum,3,World,8,,
Planteray,Stiggins’ Fancy Smoky Formula,,40,,,,Rum,3,World,8,,
Clear Creek,Douglas Fir Brandy,,47.7,USA,Oregon,,Brandy,4,,,,
Clear Creek,Pear Brandy,,40,USA,Oregon,,Brandy,4,,,,
Clear Creek,Reserve Apple Brandy,8,40,USA,Oregon,,Brandy,4,,,,
Pierre Ferrand,Ambre Cognac,,40,France,,,Brandy,4,,,,
Rhine Hall,Apple Brandy,,40,USA,Illinois,,Brandy,4,,,,
Rhine Hall,Mango Brandy,,40,USA,Illinois,,Brandy,4,,,,
St George,Raspberry Brandy,,40,America,California,,Brandy,4,,,,
Beefeater,London Dry Gin,,40,England,,,Gin,5,,,,
Suntory,Roku,,43,Japan,,,Gin,5,,,,
Olmeca,Altos Plata,,40,Mexico,,,Tequila,6,,,,
Belvedere,Organic Infusions Blackberry & Lemongrass,,40,Poland,,,Vodka,7,,,,
Kinmen,Kaoliang,,58,,,,Other Spirits,8,,,,
Moutai,Chun,,53,China,,,Other Spirits,8,,,,
Pernod,Absinthe Superieure,,68,France,,,Other Spirits,8,,,,
St George,Green Chile,,40,USA,California,,Other Spirits,8,,,,
Abbazia di Praglia,,,32,Italy,,,Amaro,9,,,,
Averna,,,29,Italy,,,Amaro,9,,,,
Braulio,Riserva Speciale 2017,,24.7,Italy,,,Amaro,9,,,,
Cynar,,,16.5,Italy,,,Amaro,9,,,,
Fernet Branca,,,39,Italy,,,Amaro,9,,,,
Ancho Reyes,Chile Ancho,,40,Mexico,,,Liqueurs,10,,,,
Aperol,,,11,Italy,,,Liqueurs,10,,,,
Bénédictine,,,40,France,,,Liqueurs,10,,,,
Bittermens,Hiver Amer,,30,USA,New York,,Liqueurs,10,,,,
Campari,,,24,Italy,,,Liqueurs,10,,,,
Chareau,Aloe,,25,USA,California,,Liqueurs,10,,,,
Chartreuse,Green,,55,France,,,Liqueurs,10,,,,
